Nombre	BancardId	CodigoComercio	SectorComercio	CategoriaDescripcion	CategoriaNombre	cantidad
AZAR LATINO	AZAR LATINO	1428694	7995			728427
SLOTS DEL SOL	SLOTS DEL SOL	231826	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	655988
UPAY	UPAY	320366	7399			201504
GIRO WIN GAMING	GIRO WIN GAMING	316729	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	191826
SOLBET - QR 2	SOLBET - QR 2	293801	7995			85659
PGP *MITIC	PGP *MITIC	259387	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	54780
TIGO PAGO DE FACTURAS ...	TIGO PAGO DE FACTURAS ...	13	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	42802
EGLOBALT VUELTO	EGLOBALT VUELTO	272133	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	33206
COMERCIAL S.CAYETANO	COMERCIAL S.CAYETANO	6296	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	29826
EL CACIQUE-LUQUE	EL CACIQUE-LUQUE	234144	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	27502
EL CACIQUE-AREGUA	EL CACIQUE-AREGUA	234144	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	25764
EL CACIQUE-ITAUGUA	EL CACIQUE-ITAUGUA	234144	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	25637
UPAY S2	UPAY S2	320366	7399			20902
CIAL.VIRGEN DEL ROSA	CIAL.VIRGEN DEL ROSA	241784	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	19996
SOLBET QR	SOLBET QR	293801	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	19827
CIAL VIRGEN DEL ROSARIO	CIAL VIRGEN DEL ROSARIO	241784	5411	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	19763
AHORRAZO-CAPIATA	AHORRAZO-CAPIATA	268629	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	19541
AHORRAZO CAPIATA 2	AHORRAZO CAPIATA 2	268629	5411	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	18425
HIPER LUISITO-YPANE	HIPER LUISITO-YPANE	778	SIN RUBRO	Comercios que no pertenecen a ninguna categoría	Comercios que no pertenecen a ninguna categoría	17467
